location_id,city,postal_code,country,address,confirmed
O7NAAOuJ9Lt4tgJJ1,Vélizy-Villacoublay,78140,FR,"centre commercial vélizy 2, 2 Av. de l'Europe, 78140 Vélizy-Villacoublay, France",true
vC52IM1NSoarKTHUT,Paris,75012,FR,"80 Av. du Dr Arnold Netter, 75012 Paris, France",true
8GyRsmut4Yncf71KI,Villebon-sur-Yvette,91140,FR,"Centre Commercial Villebon 2, 91140 Villebon-sur-Yvette, France",true
QrEm4fPN1scKVViA9,Paris,75004,FR,"70 Rue de Rivoli, 75004 Paris, France",true
BABLoDyAXJIQFkGU6,Paris,75009,FR,"5 Rue Catherine de La Rochefoucauld, 75009 Paris, France",true
GepHPy3y4tuZHgHqZ,Rillieux-la-Pape,69140,FR,"1767 Av. de l'Hippodrome, 69140 Rillieux-la-Pape, France",true
aJZXdV16eZdxAcdHa,Levallois-Perret,92300,FR,"50 Rue Kléber, 92300 Levallois-Perret, France",true
oeAKlwf0OLB2Z22gf,Courbevoie,92400,FR,"15 Rue Armand Silvestre, 92400 Courbevoie, France",true
US5ZMKdSrhmSwiMRW,Paris,75002,FR,"124 Rue Réaumur, 75002 Paris, France",true
WIrECGq8umgBLIy8L,Bordeaux,33000,FR,"52 Rue Georges Bonnac, 33000 Bordeaux, France",true
eiKlLxkrQaMWGUnIx,Paris,75004,FR,"36 Rue de la Verrerie, 75004 Paris, France",true
EKmVNwlmY2IPkPZuy,Paris,75009,FR,"64 Bd Haussmann, 75009 Paris, France",true
oIWkBhgnliciHM2ls,Paris,75013,FR,"27 Rue de la Vistule, 75013 Paris, France",true
KjoAoBbLO8PFEharp,Bègles,33130,FR,"3004 Rue Denis Papin, 33130 Bègles, France",true
aCXBCx6fY5t9DgXka,Paris,75012,FR,"23 Rue des Pirogues de Bercy, 75012 Paris, France",true
8ekwu4Y79rVGrAXOI,Paris,75008,FR,"85 Bd Haussmann, 75008 Paris, France",true
9EFuXbhtZt0k1Zkwj,Paris,75004,FR,"139 Rue Saint-Martin, 75004 Paris, France",true
xpHQZY8AMmNbfldLS,Boulogne-Billancourt,92100,FR,"185 Bd Jean Jaurès, 92100 Boulogne-Billancourt, France",true
IxhMIwiWuMDsTnGpx,Paris,75019,FR,"40 Av. de Flandre, 75019 Paris, France",true
T8tqjFArTHr8JqFcM,Bonneuil-sur-Marne,94380,FR,"1 Av. du Bicentenaire 1789-1989, 94380 Bonneuil-sur-Marne, France",true
i1VDVmi5iZJ9M0f0y,Paris,75009,FR,"64 Bd Haussmann, 75009 Paris, France",true
mS0eBoeHGrsRH3lTp,Saint-Grégoire,35760,FR,"Rte Saint-Malo, 35760 Saint-Grégoire, France",true
YE68ishRThcPadGjV,Paris,75011,FR,"168 Rue Saint-Maur, 75011 Paris, France",true
6YTjhvSDexZRYiqfg,Levallois-Perret,92300,FR,"24 Rue Jacques Ibert, 92300 Levallois-Perret, France",true
fWAu4ybNwOfKwVg47,Nantes,44000,FR,"18 Rue Baron, 44000 Nantes, France",true
PrnBCpuaJ520O2SEJ,Paris,75009,FR,"19 Rue Blanche, 75009 Paris, France",true
0GLxCMk7SDacRl1Z1,Issy-les-Moulineaux,92130,FR,"51 Rue du Général Leclerc, 92130 Issy-les-Moulineaux, France",true
4RBhC3tIrkAr1OnH2,Paris,75003,FR,"35 Rue de Poitou, 75003 Paris, France",true
4exFJS3aS3cX0e7vt,Neuilly-sur-Seine,92200,FR,"27 Rue des Poissonniers, 92200 Neuilly-sur-Seine, France",true
fRdctVA0EpZF6DZia,Bagnolet,93170,FR,"228 Rue Etienne Marcel, 93170 Bagnolet, France",true
RbLPsc8stKoYfaxfM,Paris,75009,FR,"7 Rue de Châteaudun, 75009 Paris, France",true
gxQdnxXlpJa3dCfc7,Paris,75009,FR,"7 Bd Haussmann, 75009 Paris, France",true
wRTcbLdJq73DVMmDQ,Paris,75011,FR,"54 Bd du Temple, 75011 Paris, France",true
xGHM9ahO2qvGnA8xB,Paris,75009,FR,"64 Bd Haussmann, 75009 Paris, France",true
SL8YlYsQBD2eWDw0o,Marseille,13001,FR,"42 Rue Francis Davso, 13001 Marseille, France",true
pQorXUwByaQjOdbEH,Lieusaint,77127,FR,"Trait d'Union, 77127 Lieusaint, France",true
fkEfaNZNwY0OFHp0Q,Le Kremlin-Bicêtre,94270,FR,"55-69 Av. de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",true
XCvXOu39iMsOAZeDk,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
62RNWCZIM7fZuEO9M,Roppenheim,67480,FR,"1 Rte de l'Europe, 67480 Roppenheim, France",true
gBCXd29aGXN5JR7vc,Bagnolet,93170,FR,"28 Av. du Général de Gaulle, 93170 Bagnolet, France",true
n5JyL11HXXWCvHs8n,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
nD1dt2i1VVksY0FcJ,Paris,75004,FR,"42 Rue de la Verrerie, 75004 Paris, France",true
NwdB3pnG2xlAQ9nQY,Aulnay-sous-Bois,93600,FR,"89 Rue Auguste Renoir, 93600 Aulnay-sous-Bois, France",true
YtMxrYE92D30XIhVn,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
E5lbCiLISbeXnCUac,Paris,75009,FR,"20B Rue La Fayette, 75009 Paris, France",true
hCO7JTCH0TWFSv3YL,Bordeaux,33300,FR,"123 Rue Lucien Faure, 33300 Bordeaux, France",true
vE9jhJCv6P49UIZxj,Nogent-sur-Marne,94130,FR,"14 Bd de Strasbourg, 94130 Nogent-sur-Marne, France",true
uBfugMTPKnjbsrcZx,Lyon,69006,FR,"16 Rue Cuvier, 69006 Lyon, France",true
TWIeytIgTMlrNWbLv,Paris,75009,FR,"48 Bd Haussmann, 75009 Paris, France",true
MC0HQTR5IRHGfNkj0,Serris,77700,FR,"3 Cr de la Garonne, 77700 Serris, France",true
iEeD8iknpHuRbHi0j,Paris,75015,FR,"57 Rue du Commerce, 75015 Paris, France",true
447o5oJFvdXoyiNvD,Puteaux,92800,FR,"Parv. de l'arche, 92800 Puteaux, France",true
4uwkEaC9b2Am4AUJF,Paris,75002,FR,"29 Rue du Louvre, 75002 Paris, France",true
TV1OKiT1RuaH78rri,Versailles,78000,FR,"19 All. des Marronniers, 78000 Versailles, France",true
8oPaFJ9uJDUqn8fJY,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
xDYLm0BNukVm7yx5F,Clichy-sous-Bois,93390,FR,"12 All. de la Fossé Maussoin, 93390 Clichy-sous-Bois, France",true
mkdZKvBk48PL9v9oA,Lille,59000,FR,"45 Rue Nationale 39, 59000 Lille, France",true
OJePi8jWJGjcqCMXn,Cergy,95000,FR,"Rue de la Croix des Maheux, 95000 Cergy, France",true
QPTEsE6EgXC0bLSJ0,Paris,75001,FR,"101 Rue Berger, 75001 Paris, France",true
CLmLUTira9iPSE1Vo,Bordeaux,33300,FR,"123 Rue Lucien Faure, 33300 Bordeaux, France",true
ZmDGgZLhkiPNxQ5Zu,Vélizy-Villacoublay,78140,FR,"2 Av. de l'Europe, 78140 Vélizy-Villacoublay, France",true
CDHW8q8dJILoptGHG,Levallois-Perret,92300,FR,"45 Rue Trébois, 92300 Levallois-Perret, France",true
jZbVUEBD8i3bbSOIx,Pantin,93500,FR,"110 bis Av. du Général Leclerc, 93500 Pantin, France",true
7ELxLHj9OPHcXwidO,Arcueil,94110,FR,"Pl. de la Vache Noire, 94110 Arcueil, France",true
pjymAOsW9pr59vXhB,Taverny,95150,FR,"Rue Théroigne de Méricourt, 95150 Taverny, France",true
QGUqFLfOSu1gdNuHH,Bordeaux,33300,FR,"110 Rue Achard, 33300 Bordeaux, France",true
g2OLZAkBbwF08jfrC,Caen,14000,FR,"Rue Paul Doumer, 14000 Caen, France",true
brcOietVHAQRbWChk,Châtillon,92320,FR,"29 Bd de Vanves, 92320 Châtillon, France",true
FPvfTvbcbjEQT9lro,Plaisir,78370,FR,"1170 Av. de Saint-Germain, 78370 Plaisir, France",true
54MDiK3LTcmGsG2TN,Paris,75001,FR,"15 Rue Jean-Jacques Rousseau, 75001 Paris, France",true
pD0U0KBEqiO26A3XE,Thiais,94320,FR,"Rue du Luxembourg, 94320 Thiais, France",true
eArfj0NpHo9ilLAw7,Cannes,06400,FR,"60 Rue d'Antibes, 06400 Cannes, France",true
4nLYj9PBhe9QFbmty,Suresnes,92150,FR,"25 Av. Edouard Vaillant, 92150 Suresnes, France",true
Zh8OPHE1SMHacHsFu,Wissous,91320,FR,"7 Rue des Pyrénées, 91320 Wissous, France",true
TdVpxJ01Q7tk04CxS,Bussy-Saint-Georges,77600,FR,"14 Av. de l'Europe, 77600 Bussy-Saint-Georges, France",true
RATTwfQubC4cwQA7H,Soorts-Hossegor,40150,FR,"596 Av. du Touring Club, 40150 Soorts-Hossegor, France",true
CteYkq71XMje03IAH,Fontenay-Trésigny,77610,FR,"7 Rue Margueritte Perey, 77610 Fontenay-Trésigny, France",true
HwsHps3gsTfE9FgXl,Aubervilliers,93300,FR,"43 Av. Victor Hugo, 93300 Aubervilliers, France",true
p0c79kBaBkt0wXpx5,Paris,75015,FR,"20 Rue de l'Église, 75015 Paris, France",true
BbHXjDjD9WqSKBTUV,Paris,75017,FR,"60 Rue Boursault, 75017 Paris, France",true
gcUSYkPQYtvAqK2p8,Marseille,13014,FR,"162 Bd Danielle Casanova, 13014 Marseille, France",true
52oVkFdJRUedXKsX5,Aubervilliers,93300,FR,"43 Av. Victor Hugo, 93300 Aubervilliers, France",true
BNxs6b2VreDwSl25t,Paris,75020,FR,"20 Rue de Ménilmontant, 75020 Paris, France",true
nIQAu2ltrnUCsd2qL,Toulouse,31000,FR,"8 Rue Lapeyrouse 4, 31000 Toulouse, France",true
wnNBXp0Hx9JNSGoJr,Nanterre,92000,FR,"15 Rue du Port, 92000 Nanterre, France",true
s1Xv7rkjYWAlLOHSV,Rungis,94550,FR,"7 Bd du Delta, 94550 Rungis, France",true
sIZmopM2VaJLGr2B2,Sucy-en-Brie,94370,FR,"22 Rue Magellan, 94370 Sucy-en-Brie, France",true
2MlM3EM9wlRFYM03O,Puteaux,92800,FR,"Parv. de l'arche, 92800 Puteaux, France",true
PjhatOQtQXHQNB3I9,Puteaux,92800,FR,"Parv. de l'arche, 92800 Puteaux, France",true
dSltwjv2xyVXfEIgs,Mundolsheim,67450,FR,"RN 63, 67450 Mundolsheim, France",true
dBBBVJ9u5mXhlTQ70,Bordeaux,33300,FR,"123 Rue Lucien Faure, 33300 Bordeaux, France",true
vFtaHljvj9ZwElxgD,Grenoble,38000,FR,"111 Cr Jean Jaurès, 38000 Grenoble, France",true
vU9aemEkaT5olVGIQ,Paris,75012,FR,"65 Rue Baron le Roy, 75012 Paris, France",true
6dh1A8TLc03U3VZro,Aix-en-Provence,13100,FR,"4 Rue des Bœufs, 13100 Aix-en-Provence, France",true
OJZ2m2dI9GvkMm7Ri,Vénissieux,69200,FR,"9004 All. des Savoies, 69200 Vénissieux, France",true
eZWxsdEcGeIgD9bYP,Aubervilliers,93300,FR,"43 Av. Victor Hugo, 93300 Aubervilliers, France",true
IF96lSo371PkU5VGF,Paris,75009,FR,"6 Rue Auber, 75009 Paris, France",true
LPB2KUtpxX1wKrxwR,Montigny-lès-Cormeilles,95370,FR,"39 Bd Victor Bordier, 95370 Montigny-lès-Cormeilles, France",true
dmMIlnUtFWsUkA9ZN,Paris,75009,FR,"64 Bd Haussmann, 75009 Paris, France",true
Dmej4fqdLsoKwJGrZ,Paris,75004,FR,"32 Rue Saint-Antoine, 75004 Paris, France",true
qW2yJuQfeL4KCK9Oo,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
PphnBSJn9EqONdHPk,Lyon,69003,FR,"74 Rue de Bonnel, 69003 Lyon, France",true
Jr2OyBqWsJVW0yUgM,Le Blanc-Mesnil,93150,FR,"192 Av. Charles Floquet, 93150 Le Blanc-Mesnil, France",true
9q53ia2GXIdwyRIdu,Bordeaux,33300,FR,"123 Rue Lucien Faure, 33300 Bordeaux, France",true
DoaxovkG7c12G521s,Les Clayes-sous-Bois,78340,FR,"80 Av. Henri Barbusse, 78340 Les Clayes-sous-Bois, France",true
rPMQ4ew6X5xHSXxKO,Paris,92230,FR,"5 Rue Olympe de Gouges, 92230 Paris, France",true
TLW1V7203pBV2FsFA,Paris,75011,FR,"6 Rue St Sabin, 75011 Paris, France",true
Ucj3XlqI0qUrkDI7Y,Annecy,74000,FR,"Av. du Parmelan, 74000 Annecy, France",true
EGAagZvEv24UQYkLM,Poissy,78300,FR,"79 Rue du Général de Gaulle, 78300 Poissy, France",true
4xdHCRhhnx5WaUReC,Caen,14000,FR,"Centre Commercial Paul Doumer, Rue de Bras, 14000 Caen, France",true
xDM0NAD7j6ENbauU7,Herblay-sur-Seine,95220,FR,"2 Rue René Cassin, 95220 Herblay-sur-Seine, France",true
xBKIodU8oWuZ1uWjO,Tours,37000,FR,"17 Bd Heurteloup, 37000 Tours, France",true
PfkTXWDFVNeTdNndw,Paris,75017,FR,"255 Bd Pereire, 75017 Paris, France",true
CKMSYwyLlXIJdc43c,Melun,,FR,"Chp de Foire, Melun, France",true
PvKOch6Z8b51K7b19,Nice,06000,FR,"6 Av. Jean Médecin, 06000 Nice, France",true
9SIYYxixGBCwcqCqx,Saint-Laurent-du-Var,06700,FR,"Av. Eugène Donadeï, 06700 Saint-Laurent-du-Var, France",true
IBGLoEXmi73BfDbPa,Lyon,69003,FR,"42 Bd Eugène Deruelle, 69003 Lyon, France",true
OcOOiJhw69bk1dpD2,Villefontaine,38090,FR,"Parc du, Chem. du Couvent, 38090 Villefontaine, France",true
